wickets,matches,player,team
24,13,Harbhajan Singh,Chennai Super Kings
23,11,SL Malinga,Chennai Super Kings
21,13,PP Ojha,Chennai Super Kings
17,11,R Vinay Kumar,Chennai Super Kings
16,8,Z Khan,Chennai Super Kings
14,10,P Kumar,Chennai Super Kings
13,11,PP Chawla,Chennai Super Kings
12,10,KA Pollard,Chennai Super Kings
11,9,IK Pathan,Chennai Super Kings
11,6,A Nehra,Chennai Super Kings
11,8,RP Singh,Chennai Super Kings
19,8,SL Malinga,Deccan Chargers
13,6,A Kumble,Deccan Chargers
13,6,R Vinay Kumar,Deccan Chargers
12,5,Z Khan,Deccan Chargers
12,6,SK Warne,Deccan Chargers
12,7,SK Trivedi,Deccan Chargers
11,5,SB Jakati,Deccan Chargers
11,5,R Bhatia,Deccan Chargers
11,5,A Mishra,Deccan Chargers
10,6,P Kumar,Deccan Chargers
10,6,JA Morkel,Deccan Chargers
18,10,SL Malinga,Delhi Daredevils
18,9,PP Chawla,Delhi Daredevils
17,11,R Ashwin,Delhi Daredevils
17,11,Harbhajan Singh,Delhi Daredevils
16,10,DW Steyn,Delhi Daredevils
12,9,JA Morkel,Delhi Daredevils
12,7,SP Narine,Delhi Daredevils
12,8,PP Ojha,Delhi Daredevils
12,6,AB Dinda,Delhi Daredevils
12,7,L Balaji,Delhi Daredevils
8,3,B Kumar,Gujarat Lions
6,2,CJ Jordan,Gujarat Lions
5,3,YS Chahal,Gujarat Lions
5,2,SR Watson,Gujarat Lions
4,1,AR Patel,Gujarat Lions
4,1,MJ McClenaghan,Gujarat Lions
3,2,CH Morris,Gujarat Lions
3,1,MM Sharma,Gujarat Lions
3,2,JJ Bumrah,Gujarat Lions
3,2,Mustafizur Rahman,Gujarat Lions
3,1,Imran Tahir,Gujarat Lions
22,11,SL Malinga,Kings XI Punjab
22,9,SP Narine,Kings XI Punjab
21,12,A Mishra,Kings XI Punjab
19,9,DJ Bravo,Kings XI Punjab
17,10,M Morkel,Kings XI Punjab
16,9,Harbhajan Singh,Kings XI Punjab
15,9,R Ashwin,Kings XI Punjab
15,7,UT Yadav,Kings XI Punjab
13,8,B Kumar,Kings XI Punjab
13,8,Z Khan,Kings XI Punjab
13,9,JA Morkel,Kings XI Punjab
13,9,A Nehra,Kings XI Punjab
5,1,I Sharma,Kochi Tuskers Kerala
4,2,M Morkel,Kochi Tuskers Kerala
4,2,YK Pathan,Kochi Tuskers Kerala
4,2,RE van der Merwe,Kochi Tuskers Kerala
3,1,DW Steyn,Kochi Tuskers Kerala
3,1,Shakib Al Hasan,Kochi Tuskers Kerala
3,1,WD Parnell,Kochi Tuskers Kerala
3,2,DL Vettori,Kochi Tuskers Kerala
3,1,SK Trivedi,Kochi Tuskers Kerala
3,2,R Ashwin,Kochi Tuskers Kerala
3,1,SK Warne,Kochi Tuskers Kerala
18,11,R Ashwin,Kolkata Knight Riders
17,9,R Vinay Kumar,Kolkata Knight Riders
17,11,Z Khan,Kolkata Knight Riders
16,9,B Kumar,Kolkata Knight Riders
15,8,RP Singh,Kolkata Knight Riders
12,8,DJ Bravo,Kolkata Knight Riders
12,7,PP Ojha,Kolkata Knight Riders
12,8,SL Malinga,Kolkata Knight Riders
12,9,A Mishra,Kolkata Knight Riders
11,8,Harbhajan Singh,Kolkata Knight Riders
11,7,MM Patel,Kolkata Knight Riders
11,7,DW Steyn,Kolkata Knight Riders
11,6,MG Johnson,Kolkata Knight Riders
11,6,UT Yadav,Kolkata Knight Riders
11,5,RA Jadeja,Kolkata Knight Riders
30,15,DJ Bravo,Mumbai Indians
19,10,MM Sharma,Mumbai Indians
18,13,PP Chawla,Mumbai Indians
16,8,A Nehra,Mumbai Indians
15,7,DW Steyn,Mumbai Indians
