Runs,Player,Season
127,M Vijay,3
110,DPMD Jayawardene,3
107,DA Warner,3
100,YK Pathan,3
94,NV Ojha,3
93,DPMD Jayawardene,3
93,ML Hayden,3
89,SR Tendulkar,3
89,JH Kallis,3
88,CH Gayle,3
158,BB McCullum,1
117,A Symonds,1
116,MEK Hussey,1
115,SE Marsh,1
114,ST Jayasuriya,1
109,AC Gilchrist,1
94,KC Sangakkara,1
94,V Sehwag,1
91,SC Ganguly,1
91,GC Smith,1
120,PC Valthaty,4
119,V Sehwag,4
107,CH Gayle,4
106,AC Gilchrist,4
102,CH Gayle,4
100,SR Tendulkar,4
95,S Dhawan,4
95,SE Marsh,4
95,M Vijay,4
89,CH Gayle,4
175,CH Gayle,6
101,DA Miller,6
101,SR Watson,6
100,SK Raina,6
99,SK Raina,6
99,V Kohli,6
98,SR Watson,6
95,V Sehwag,6
95,MEK Hussey,6
93,V Kohli,6
128,CH Gayle,5
113,M Vijay,5
109,RG Sharma,5
109,DA Warner,5
103,AM Rahane,5
103,KP Pietersen,5
98,AM Rahane,5
93,G Gambhir,5
90,SR Watson,5
89,MS Bisla,5
114,MK Pandey,2
105,AB de Villiers,2
98,SK Raina,2
89,ML Hayden,2
85,AC Gilchrist,2
84,BB McCullum,2
84,RS Bopara,2
81,BB McCullum,2
81,LRPL Taylor,2
79,AB de Villiers,2
133,AB de Villiers,8
117,CH Gayle,8
104,SR Watson,8
100,BB McCullum,8
98,RG Sharma,8
96,CH Gayle,8
91,AM Rahane,8
91,DA Warner,8
89,DA Miller,8
83,SS Iyer,8
129,AB de Villiers,9
113,V Kohli,9
108,Q de Kock,9
108,V Kohli,9
105,V Kohli,9
101,SPD Smith,9
100,V Kohli,9
96,HM Amla,9
93,DA Warner,9
92,DA Warner,9
122,V Sehwag,7
115,WP Saha,7
100,LMP Simmons,7
95,CJ Anderson,7
95,GJ Maxwell,7
95,GJ Maxwell,7
94,MK Pandey,7
90,DA Warner,7
90,GJ Maxwell,7
89,AB de Villiers,7
