team,vs,wins,losses
Chennai Super Kings,Deccan Chargers,6,4
Chennai Super Kings,Delhi Daredevils,11,5
Chennai Super Kings,Kings XI Punjab,10,7
Chennai Super Kings,Kochi Tuskers Kerala,1,1
Chennai Super Kings,Kolkata Knight Riders,10,6
Chennai Super Kings,Mumbai Indians,10,12
Chennai Super Kings,Pune Warriors,4,2
Chennai Super Kings,Rajasthan Royals,11,6
Chennai Super Kings,Royal Challengers Bangalore,12,7
Chennai Super Kings,Sunrisers Hyderabad,4,2
Deccan Chargers,Chennai Super Kings,4,6
Deccan Chargers,Delhi Daredevils,4,7
Deccan Chargers,Kings XI Punjab,3,7
Deccan Chargers,Kochi Tuskers Kerala,1,0
Deccan Chargers,Kolkata Knight Riders,2,7
Deccan Chargers,Mumbai Indians,4,6
Deccan Chargers,Pune Warriors,3,1
Deccan Chargers,Rajasthan Royals,2,7
Deccan Chargers,Royal Challengers Bangalore,6,5
Delhi Daredevils,Chennai Super Kings,5,11
Delhi Daredevils,Deccan Chargers,7,4
Delhi Daredevils,Gujarat Lions,1,1
Delhi Daredevils,Kings XI Punjab,8,10
Delhi Daredevils,Kochi Tuskers Kerala,1,1
Delhi Daredevils,Kolkata Knight Riders,7,10
Delhi Daredevils,Mumbai Indians,9,9
Delhi Daredevils,Pune Warriors,3,2
Delhi Daredevils,Rajasthan Royals,6,10
Delhi Daredevils,Royal Challengers Bangalore,6,10
Delhi Daredevils,Sunrisers Hyderabad,3,5
Gujarat Lions,Delhi Daredevils,1,1
Gujarat Lions,Kings XI Punjab,1,1
Gujarat Lions,Kolkata Knight Riders,2,0
Gujarat Lions,Mumbai Indians,2,0
Gujarat Lions,Rising Pune Supergiants,2,0
Gujarat Lions,Royal Challengers Bangalore,1,2
Kings XI Punjab,Chennai Super Kings,7,10
Kings XI Punjab,Deccan Chargers,7,3
Kings XI Punjab,Delhi Daredevils,10,8
Kings XI Punjab,Gujarat Lions,1,1
Kings XI Punjab,Kochi Tuskers Kerala,1,0
Kings XI Punjab,Kolkata Knight Riders,6,13
Kings XI Punjab,Mumbai Indians,9,9
Kings XI Punjab,Pune Warriors,3,3
Kings XI Punjab,Rajasthan Royals,6,9
Kings XI Punjab,Rising Pune Supergiants,1,1
Kings XI Punjab,Royal Challengers Bangalore,10,8
Kings XI Punjab,Sunrisers Hyderabad,2,6
Kochi Tuskers Kerala,Chennai Super Kings,1,1
Kochi Tuskers Kerala,Delhi Daredevils,1,1
Kochi Tuskers Kerala,Kolkata Knight Riders,2,0
Kochi Tuskers Kerala,Mumbai Indians,1,0
Kochi Tuskers Kerala,Rajasthan Royals,1,1
Kolkata Knight Riders,Chennai Super Kings,6,10
Kolkata Knight Riders,Deccan Chargers,7,2
Kolkata Knight Riders,Delhi Daredevils,10,7
Kolkata Knight Riders,Kings XI Punjab,13,6
Kolkata Knight Riders,Mumbai Indians,5,13
Kolkata Knight Riders,Pune Warriors,4,1
